samples,Pseudomonadota,Actinomycetota,Chloroflexota,Bacillota,Cyanobacteriota,Candidatus.Melainabacteria,Candidatus.Margulisbacteria,Deinococcota,Armatimonadota,Mycoplasmatota,Thermomicrobiota,Candidatus.Kaiserbacteria,Candidatus.Nomurabacteria,Candidatus.Yanofskybacteria,Candidatus.Azambacteria,Candidatus.Falkowbacteria,Candidatus.Magasanikbacteria,Candidatus.Nealsonbacteria,Candidatus.Uhrbacteria,Candidatus.Giovannonibacteria,Candidatus.Moranbacteria,Candidatus.Zambryskibacteria,Candidatus.Staskawiczbacteria,Candidatus.Wolfebacteria,Candidatus.Harrisonbacteria,Candidatus.Taylorbacteria,Candidatus.Buchananbacteria,Candidatus.Portnoybacteria,Candidatus.Adlerbacteria,Candidatus.Sungbacteria,Candidatus.Jorgensenbacteria,Candidatus.Liptonbacteria,Candidatus.Tagabacteria,Candidatus.Ryanbacteria,Candidatus.Wildermuthbacteria,Candidatus.Komeilibacteria,Candidatus.Kuenenbacteria,Candidatus.Lloydbacteria,Candidatus.Kerfeldbacteria,Candidatus.Terrybacteria,Candidatus.Yonathbacteria,Candidatus.Niyogibacteria,Candidatus.Campbellbacteria,Candidatus.Colwellbacteria,Candidatus.Vogelbacteria,Candidatus.Spechtbacteria,Candidatus.Andersenbacteria,Candidatus.Parcubacteria,Candidatus.Veblenbacteria,Candidatus.Woesebacteria,Candidatus.Gottesmanbacteria,Candidatus.Roizmanbacteria,Candidatus.Levybacteria,Candidatus.Daviesbacteria,Candidatus.Curtissbacteria,Candidatus.Shapirobacteria,Candidatus.Beckwithbacteria,Candidatus.Amesbacteria,Candidatus.Chisholmbacteria,Candidatus.Collierbacteria,Candidatus.Woykebacteria,Candidatus.Pacebacteria,Candidatus.Blackburnbacteria,Candidatus.Microgenomates,Candidatus.Gracilibacteria,candidate.division.NC10,Candidatus.Rokubacteria,Candidatus.Handelsmanbacteria,Candidatus.Schekmanbacteria,Candidatus.Aminicenantes,Candidatus.Glassbacteria,candidate.division.WWE3,Candidatus.Peregrinibacteria,Candidatus.Doudnabacteria,Candidatus.Berkelbacteria,Candidatus.Gribaldobacteria,Candidatus.Saccharibacteria,Candidatus.Eisenbacteria,Candidatus.Desantisbacteria,Candidatus.Edwardsbacteria,Candidatus.Lindowbacteria,Candidatus.Ratteibacteria,Candidatus.Dadabacteria,Candidatus.Firestonebacteria,Candidatus.Raymondbacteria,Candidatus.Riflebacteria,Candidatus.Wallbacteria,candidate.division.CPR1,Candidatus.Coatesbacteria,Candidatus.Bipolaricaulota,Candidatus.Blackallbacteria,candidate.division.CPR2,Candidatus.Fraserbacteria,Candidatus.Fischerbacteria,candidate.division.WOR.3,Candidatus.Wirthbacteria,Candidatus.Abawacabacteria,Candidatus.Absconditabacteria,candidate.division.CPR3,Candidatus.Delongbacteria,Candidatus.Calescamantes,Planctomycetota,Candidatus.Omnitrophica,Verrucomicrobiota,Lentisphaerota,Chlamydiota,Kiritimatiellota,Thermodesulfobacteriota,Nitrospirota,Campylobacterota,Bacteroidota,Ignavibacteriota,Chlorobiota,Balneolota,Gemmatimonadota,candidate.division.Zixibacteria,Candidatus.Marinimicrobia,Candidatus.Hydrogenedentes,Fibrobacterota,Candidatus.Cloacimonetes,Elusimicrobiota,Acidobacteriota,Myxococcota,Nitrospinota,Candidatus.Tectomicrobia,Spirochaetota,Bdellovibrionota,Synergistota,Caldisericota,Fusobacteriota,Thermotogota,Atribacterota,Chrysiogenota,Aquificota,Calditrichota,Deferribacterota,Dictyoglomota,Coprothermobacterota,Nitrososphaerota,Candidatus.Bathyarchaeota,Thermoproteota,Euryarchaeota,Candidatus.Woesearchaeota,Nanoarchaeota,Candidatus.Micrarchaeota,Candidatus.Diapherotrites,Candidatus.Altiarchaeota,Candidatus.Aenigmarchaeota,Candidatus.Nanohaloarchaeota,Candidatus.Thermoplasmatota,Candidatus.Heimdallarchaeota,Candidatus.Lokiarchaeota,Candidatus.Thorarchaeota
mgm4446406,0.721883233948135,0.008667313826099,0.0006240465954791,0.0227430314796838,0.017334627652198,0.0001386770212175,0.0,0.0002080155318263,6.93385106087921e-05,0.0015254472333934,0.0,0.0001386770212175,6.93385106087921e-05,0.0002080155318263,0.0,0.0,0.0003466925530439,6.93385106087921e-05,0.0,0.0,0.0001386770212175,0.0,0.0001386770212175,6.93385106087921e-05,6.93385106087921e-05,0.0,6.93385106087921e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0001386770212175,0.0,0.0002080155318263,0.0,0.0,0.0,0.0,0.0,0.0,6.93385106087921e-05,0.0,0.0,0.0,0.0,6.93385106087921e-05,0.0,0.0002080155318263,0.0,0.0001386770212175,0.0001386770212175,0.0,0.0,6.93385106087921e-05,0.0,0.0,0.0,0.0001386770212175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001386770212175,0.0,0.0,0.0002080155318263,0.0,0.0,0.0,0.0,6.93385106087921e-05,0.0,6.93385106087921e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015947857440022,0.0006933851060879,0.0011094161697406,0.0002773540424351,0.0003466925530439,0.0001386770212175,0.0015947857440022,0.0002080155318263,0.0047843572320066,0.205450006933851,0.0006240465954791,0.0001386770212175,0.0,6.93385106087921e-05,0.0,0.0004160310636527,0.0,0.0,0.0001386770212175,0.0002773540424351,0.0002773540424351,0.0002080155318263,0.0001386770212175,0.0,0.0009014006379142,0.0007627236166967,0.0,6.93385106087921e-05,0.0010400776591318,0.0003466925530439,6.93385106087921e-05,6.93385106087921e-05,0.0001386770212175,0.0,0.0004160310636527,6.93385106087921e-05,0.0,6.93385106087921e-05,0.0,6.93385106087921e-05,0.0012480931909582,6.93385106087921e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mgm4446411,0.299297423887588,0.172833723653396,0.0006245120999219,0.0402810304449649,0.0065573770491803,0.0003122560499609,0.0,0.0014051522248243,0.0,0.0020296643247462,0.0,0.0003122560499609,0.0004683840749414,0.0001561280249804,0.0,0.0004683840749414,0.0007806401249024,0.0004683840749414,0.0001561280249804,0.0,0.0004683840749414,0.0,0.0,0.0001561280249804,0.0003122560499609,0.0001561280249804,0.0003122560499609,0.0,0.0,0.0,0.0,0.0,0.0,0.0003122560499609,0.0001561280249804,0.0,0.0004683840749414,0.0,0.0001561280249804,0.0001561280249804,0.0,0.0,0.0,0.0,0.0,0.0,0.0001561280249804,0.0001561280249804,0.0,0.0003122560499609,0.0003122560499609,0.0004683840749414,0.0001561280249804,0.0,0.0,0.0004683840749414,0.0,0.0,0.0,0.0001561280249804,0.0001561280249804,0.0001561280249804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003122560499609,0.0,0.0001561280249804,0.0,0.0001561280249804,0.0001561280249804,0.0007806401249024,0.0001561280249804,0.0,0.0,0.0,0.0,0.0003122560499609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018735362997658,0.0020296643247462,0.0006245120999219,0.0,0.0,0.0001561280249804,0.0031225604996096,0.0009367681498829,0.0053083528493364,0.438407494145199,0.0023419203747072,0.0003122560499609,0.0006245120999219,0.0001561280249804,0.0,0.0,0.0,0.0,0.0001561280249804,0.0004683840749414,0.0001561280249804,0.0,0.0,0.0,0.0029664324746292,0.0009367681498829,0.0001561280249804,0.0,0.0003122560499609,0.0003122560499609,0.0,0.0,0.0004683840749414,0.0003122560499609,0.0006245120999219,0.0,0.0,0.0,0.0,0.0001561280249804,0.0035909445745511,0.0001561280249804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mgm4446412,0.536390600045631,0.259867670545289,0.001825233858088,0.0219028062970568,0.0041067761806981,0.0,0.0,0.0045630846452201,0.000228154232261,0.000228154232261,0.0,0.000228154232261,0.0,0.0,0.0,0.000456308464522,0.000684462696783,0.0,0.000456308464522,0.0,0.000228154232261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000456308464522,0.0,0.0,0.000228154232261,0.0,0.000456308464522,0.000228154232261,0.0,0.000228154232261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000456308464522,0.0,0.000456308464522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000228154232261,0.000228154232261,0.000228154232261,0.0,0.000228154232261,0.0,0.0,0.000228154232261,0.0,0.0,0.0,0.0,0.000228154232261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001597079625827,0.000684462696783,0.001368925393566,0.000456308464522,0.0,0.0,0.00228154232261,0.000228154232261,0.002509696554871,0.116814966917636,0.001140771161305,0.0,0.000228154232261,0.0,0.000456308464522,0.0,0.000228154232261,0.0,0.0,0.000684462696783,0.001597079625827,0.0036504677161761,0.0,0.0,0.0029660050193931,0.000684462696783,0.000456308464522,0.0,0.000228154232261,0.000456308464522,0.0,0.0,0.000228154232261,0.0,0.0,0.0,0.0,0.000228154232261,0.0,0.0,0.025781428245494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mgm4453379,0.585151167240719,0.184462303865289,0.0030616150019135,0.0463069269039418,0.0065059318790662,0.0,0.0,0.0003827018752391,0.0007654037504783,0.0019135093761959,0.0,0.0,0.0,0.0003827018752391,0.0,0.0003827018752391,0.0,0.0,0.0003827018752391,0.0,0.0011481056257175,0.0,0.0,0.0,0.0,0.0003827018752391,0.0,0.0007654037504783,0.0,0.0003827018752391,0.0003827018752391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003827018752391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003827018752391,0.0003827018752391,0.0007654037504783,0.0003827018752391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003827018752391,0.0,0.0,0.0011481056257175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003827018752391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049751243781094,0.0003827018752391,0.0022962112514351,0.0003827018752391,0.0011481056257175,0.0,0.0053578262533486,0.0007654037504783,0.006123230003827,0.12246460007654,0.0026789131266743,0.0007654037504783,0.0,0.0003827018752391,0.0,0.0,0.0,0.0,0.0,0.0003827018752391,0.0003827018752391,0.0026789131266743,0.0,0.0,0.0011481056257175,0.0015308075009567,0.0,0.0,0.0011481056257175,0.0022962112514351,0.0,0.0,0.0,0.0003827018752391,0.0015308075009567,0.0,0.0,0.0011481056257175,0.0,0.0003827018752391,0.0015308075009567,0.0007654037504783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mgm4453380,0.625883392226148,0.136410482921084,0.0027237926972909,0.0525618374558304,0.0111896348645465,0.0001472320376914,7.36160188457008e-05,0.0004416961130742,0.0001472320376914,0.0035335689045936,0.0002208480565371,0.0002944640753828,7.36160188457008e-05,7.36160188457008e-05,0.0,0.0,0.0005153121319199,7.36160188457008e-05,7.36160188457008e-05,7.36160188457008e-05,0.0001472320376914,7.36160188457008e-05,0.0001472320376914,0.0,0.0,7.36160188457008e-05,7.36160188457008e-05,0.0002208480565371,0.0,0.0,7.36160188457008e-05,0.0,0.0,0.0003680800942285,7.36160188457008e-05,7.36160188457008e-05,0.0,0.0003680800942285,7.36160188457008e-05,0.0,7.36160188457008e-05,0.0,7.36160188457008e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0001472320376914,0.0003680800942285,0.0005153121319199,0.0002944640753828,0.0002208480565371,7.36160188457008e-05,7.36160188457008e-05,7.36160188457008e-05,0.0,0.0,0.0002944640753828,0.0001472320376914,0.0,0.0,0.0,0.0,0.0,0.0002208480565371,7.36160188457008e-05,0.0002208480565371,0.0001472320376914,0.0,7.36160188457008e-05,0.0002208480565371,0.0,0.0002944640753828,0.0,0.0,0.0001472320376914,0.0002944640753828,0.0,0.0,0.0,7.36160188457008e-05,7.36160188457008e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.36160188457008e-05,0.0,0.0,0.0,0.0,0.0,0.0002208480565371,0.0032391048292108,0.0011778563015312,0.0011778563015312,0.0001472320376914,0.0005889281507656,0.0,0.0043433451118963,0.0005153121319199,0.0066990577149587,0.12345406360424,0.0015459363957597,0.0002944640753828,0.0001472320376914,0.0003680800942285,7.36160188457008e-05,0.0002944640753828,0.0,0.0,0.0,0.0005889281507656,0.0013250883392226,0.0012514723203769,0.0001472320376914,0.0002208480565371,0.002944640753828,0.0021348645465253,0.0,0.0,0.0012514723203769,0.0008833922261484,0.0001472320376914,0.0,0.0003680800942285,0.0,0.0002944640753828,7.36160188457008e-05,0.0,0.0006625441696113,0.0,0.0003680800942285,0.0021348645465253,7.36160188457008e-05,0.0,0.0,0.0001472320376914,0.0,0.0,0.0,0.0,0.0001472320376914,0.0,0.0
mgm4453381,0.710300954245168,0.168827991191583,0.0022021042329336,0.0249571813065818,0.0078297039393197,0.0002446782481037,0.0002446782481037,0.0007340347443112,0.0012233912405187,0.0012233912405187,0.0002446782481037,0.0002446782481037,0.0,0.0,0.0,0.0,0.0002446782481037,0.0,0.0,0.0,0.0004893564962074,0.0,0.0,0.0,0.0,0.0002446782481037,0.0002446782481037,0.0,0.0,0.0,0.0,0.0,0.0002446782481037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004893564962074,0.0,0.0,0.0,0.0,0.0002446782481037,0.0,0.0,0.0012233912405187,0.0,0.0,0.0,0.0,0.0,0.0,0.0002446782481037,0.0,0.0,0.0,0.0,0.0,0.0,0.0002446782481037,0.0,0.0,0.0002446782481037,0.0,0.0,0.0007340347443112,0.0,0.0,0.0,0.0004893564962074,0.0,0.0002446782481037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002446782481037,0.0,0.0,0.0,0.0014680694886224,0.0002446782481037,0.0002446782481037,0.0,0.0007340347443112,0.0,0.0036701737215561,0.0002446782481037,0.0041595302177636,0.0565206753119648,0.0002446782481037,0.0002446782481037,0.0,0.0002446782481037,0.0,0.0,0.0,0.0,0.0004893564962074,0.0007340347443112,0.0009787129924149,0.0014680694886224,0.0,0.0,0.0007340347443112,0.0007340347443112,0.0002446782481037,0.0,0.0002446782481037,0.0,0.0,0.0002446782481037,0.0,0.0,0.0,0.0,0.0,0.0004893564962074,0.0002446782481037,0.0,0.0012233912405187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mgm4453382,0.699767711962834,0.173635307781649,0.0,0.0197444831591173,0.0063879210220673,0.0,0.0005807200929152,0.0,0.0,0.0023228803716608,0.0017421602787456,0.0,0.0,0.0,0.0,0.0005807200929152,0.0,0.0,0.0005807200929152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005807200929152,0.0,0.0,0.0,0.0005807200929152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005807200929152,0.0,0.0,0.0,0.0,0.0005807200929152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017421602787456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002903600464576,0.0,0.0,0.0,0.0,0.0,0.0046457607433217,0.0,0.0034843205574912,0.0650406504065041,0.0005807200929152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017421602787456,0.0023228803716608,0.0,0.0,0.0,0.0011614401858304,0.0,0.0005807200929152,0.0005807200929152,0.0005807200929152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058072009291521,0.0011614401858304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mgm4454502,0.909303777708398,0.0218545113955667,0.0003122073056509,0.0280986575085857,0.0046831095847642,0.0,0.0,0.0003122073056509,0.0,0.0024976584452076,0.0,0.0001561036528254,0.0,0.0001561036528254,0.0,0.0,0.0,0.0001561036528254,0.0,0.0,0.0001561036528254,0.0001561036528254,0.0001561036528254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001561036528254,0.0001561036528254,0.0001561036528254,0.0,0.0001561036528254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001561036528254,0.0003122073056509,0.0001561036528254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003122073056509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001561036528254,0.0,0.0,0.0,0.0,0.0,0.0001561036528254,0.0,0.0,0.0,0.0003122073056509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009366219169528,0.0001561036528254,0.0004683109584764,0.0003122073056509,0.0004683109584764,0.0,0.0021854511395566,0.0,0.0034342803621604,0.0154542616297221,0.0003122073056509,0.0001561036528254,0.0,0.0001561036528254,0.0001561036528254,0.0,0.0,0.0,0.0,0.0001561036528254,0.0004683109584764,0.0006244146113019,0.0003122073056509,0.0001561036528254,0.0001561036528254,0.0006244146113019,0.0,0.0,0.0007805182641273,0.0003122073056509,0.0003122073056509,0.0,0.0001561036528254,0.0,0.0003122073056509,0.0,0.0,0.0003122073056509,0.0,0.0001561036528254,0.0006244146113019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001561036528254,0.0,0.0
mgm4454503,0.921433060967945,0.0377121307353865,0.0,0.0157133878064111,0.0031426775612822,0.0,0.0,0.0,0.0012570710245128,0.0006285355122564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006285355122564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006285355122564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006285355122564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006285355122564,0.0,0.0,0.0,0.0,0.0006285355122564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006285355122564,0.0,0.0,0.0,0.0,0.0,0.0018856065367693,0.0,0.0018856065367693,0.0075424261470773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006285355122564,0.0012570710245128,0.0,0.0,0.0,0.0006285355122564,0.0,0.0,0.0006285355122564,0.0006285355122564,0.0,0.0,0.0006285355122564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006285355122564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mgm4454505,0.782216494845361,0.0446735395189003,0.002147766323024,0.0609965635738832,0.0055841924398625,0.0004295532646048,0.0004295532646048,0.0004295532646048,0.0,0.0025773195876288,0.0004295532646048,0.0,0.0004295532646048,0.0,0.0,0.0,0.0008591065292096,0.0,0.0008591065292096,0.0,0.0004295532646048,0.0,0.0,0.0,0.0,0.0,0.0,0.0004295532646048,0.0,0.0,0.0,0.0,0.0,0.0012886597938144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004295532646048,0.0,0.0004295532646048,0.0,0.0008591065292096,0.0,0.0004295532646048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004295532646048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004295532646048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047250859106529,0.0008591065292096,0.0008591065292096,0.0,0.002147766323024,0.0,0.0073024054982817,0.0,0.0133161512027491,0.0438144329896907,0.0038659793814433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008591065292096,0.0,0.0004295532646048,0.0,0.0,0.002147766323024,0.0034364261168384,0.0,0.0,0.0004295532646048,0.002147766323024,0.0,0.0,0.0,0.0,0.0025773195876288,0.0,0.0,0.0017182130584192,0.0,0.0,0.002147766323024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mgm4454506,0.922295277943813,0.0239091452480574,0.0005977286312014,0.0155409444112373,0.0059772863120143,0.0005977286312014,0.0,0.0011954572624028,0.0,0.0,0.0,0.0005977286312014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005977286312014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011954572624028,0.0005977286312014,0.0,0.0,0.0,0.0,0.0029886431560071,0.0,0.00418410041841,0.0131500298864316,0.0,0.0005977286312014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011954572624028,0.0011954572624028,0.0005977286312014,0.0,0.0,0.0005977286312014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023909145248057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mgm4454687,0.110348770726129,0.779302458547742,0.0051457975986277,0.050314465408805,0.0028587764436821,0.0,0.0,0.0,0.0005717552887364,0.0005717552887364,0.0005717552887364,0.0,0.0,0.0,0.0,0.0,0.0005717552887364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005717552887364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011435105774728,0.0,0.0,0.0,0.0,0.0,0.0005717552887364,0.0,0.0,0.0005717552887364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005717552887364,0.0005717552887364,0.0,0.0,0.0005717552887364,0.0,0.0,0.0,0.0,0.0011435105774728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022870211549456,0.0040022870211549,0.0011435105774728,0.0,0.0,0.0,0.0011435105774728,0.0,0.0040022870211549,0.0171526586620926,0.0011435105774728,0.0,0.0,0.0005717552887364,0.0,0.0011435105774728,0.0,0.0,0.0,0.0011435105774728,0.0005717552887364,0.0045740423098913,0.0,0.0,0.0011435105774728,0.0011435105774728,0.0,0.0,0.0,0.0011435105774728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005717552887364,0.0011435105774728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
