#OTU ID	mgm4440026	mgm4440051	mgm4440441	mgm4503256	mgm4503257	mgm4503259	mgm4503260	mgm4503261	mgm4503262	mgm4503266	mgm4503268	mgm4503270	mgm4503272	mgm4503273	mgm4503275	mgm4503276	mgm4503278	mgm4503279	mgm4503280	mgm4503281	mgm4503282	mgm4503283	mgm4503284	mgm4503285	mgm4503286	mgm4503287	mgm4503288	mgm4503289	mgm4503290	mgm4503291	mgm4503292	mgm4503293	mgm4548727	mgm4548728	mgm4548729	mgm4548730	mgm4548811	mgm4549010	mgm4549011	mgm4549012	mgm4549013	mgm4549014	mgm4549015	mgm4549016	mgm4549017	mgm4549018	mgm4549019	mgm4549020	mgm4549021	mgm4549506	mgm4549855	mgm4552786	mgm4552904	mgm4552905	mgm4552977	mgm4552978	mgm4552979	mgm4552980	mgm4552981	mgm4552982	mgm4552983
Pseudomonadota	0.068639798488665	0.171714724174138	0.0658421244088759	0.0631498470948012	0.950808052168982	0.0104741928632116	0.671758640443002	0.473112974839665	0.993342528247838	0.585128855090832	0.865654205607477	0.24608525445846	0.910551558752998	0.901161365105548	0.641282381039868	0.504432542852279	0.181718407024145	0.428343558282209	0.405013927576602	0.993335946687574	0.565748124078073	0.385869565217391	0.400719447775221	0.960907752449612	0.897118415128321	0.982757884853399	0.901444350042481	0.788898335965019	0.185943484748266	0.380854411230788	0.241078401412516	0.9098849779469	0.261928656144512	0.251154290111581	0.422680412371134	0.382657120127287	0.357851985559567	0.301231303198083	0.0651807556401196	0.494113100605436	0.281286156079495	0.336915297092288	0.901861056525257	0.236213252493497	0.275665297850781	0.141455696202532	0.552608943568729	0.272389502618075	0.285965480542316	0.226152287692048	0.0917647058823529	0.536330536647143	0.0647258338044093	0.117342805508818	0.879375696767001	0.230111602924924	0.88448275862069	0.878562577447336	0.661781194938331	0.643857108375573	0.22605982354207
Actinomycetota	0.008816120906801	0.0064211291495032	0.0054565296471444	0.435830784913354	0.0345903033739722	0.592037489379779	0.0343708229902616	0.311626377240585	0.0056230438703517	0.001056189269117	0.0957943925233645	0.383536320139191	0.0215609330717244	0.0378502485455072	0.200624655520852	0.15776447942174	0.503188042228494	0.539631901840491	0.515877437325905	0.0044326508458221	0.147059452294931	0.0	0.373691544868263	0.0002538457633142	0.0093801590874981	0.0005548205368955	0.0428730148356317	0.0004858496295396	0.148110261656078	0.0045988139900762	0.52938779667923	0.0011242757069964	0.0738983669373232	0.142747210465564	0.0824742268041237	0.0803500397772474	0.0985559566787004	0.185158251384183	0.262190812720848	0.116552879041608	0.282430743175128	0.195954487989886	0.0033522136169229	0.270364340650087	0.203402485200789	0.157278481012658	0.103681224690976	0.12762721961518	0.143190967562815	0.450447408407901	0.851764705882353	0.0590470159886022	0.146033540606746	0.164392098211504	0.0060200668896321	0.102194838436299	0.044683908045977	0.0260223048327138	0.0782876822040686	0.13782283369539	0.197977189584678
Chloroflexota	0.0	0.0	0.0003637686431429	5.09683995922528e-05	0.0001417635384179	0.0	0.0	2.34923767237531e-05	0.0	0.0	0.0	3.62476439031463e-05	0.0	0.0	0.0	0.0	2.61314936761785e-05	0.0004907975460122	0.0	0.0008744685342098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.53824855020074e-05	0.0002420428415829	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.47913395587142e-05	5.43625985322098e-05	7.7289707587273e-05	2.48148963822983e-05	0.0	0.0	5.61387750519284e-05	5.33304890405845e-05	0.0	9.66454368856974e-06	2.61284894597674e-05	2.31363657396696e-05	0.0	0.0	0.0001583029919265	9.42151874882231e-05	0.0002492677759082	0.0	2.29046536530059e-05	0.0	0.0	0.0	0.0	0.0
Bacillota	0.447732997481108	0.285316210322268	0.447799199708985	0.45203873598369	0.001701162461015	0.39695730671198	0.235631086499905	0.215002231775789	0.0001060951673651	0.0154203633291086	0.0052570093457943	0.138973466724663	0.0541094397209505	0.0529858897483337	0.157404005144222	0.33750180051593	0.31441413191178	0.0256441717791411	0.079108635097493	0.0002713867864789	0.18464202492678	0.396739130434783	0.222153806267622	0.01929227801188	0.0935014257841813	0.0094746276300627	0.0555192471080322	0.0821085873922021	0.496208217323755	0.171245310419944	0.228922617228617	0.0875781948168007	0.45543289845817	0.519141977683724	0.460481099656357	0.428003182179793	0.446660649819495	0.373060077679531	0.538515901060071	0.281154192966637	0.431264287952058	0.353350189633375	0.0931684198358571	0.33565373603548	0.396832168950989	0.532911392405063	0.324158459858318	0.465050532498615	0.382420989310999	0.301283133547189	0.0541176470588235	0.321988285578597	0.580553985302431	0.462765625973702	0.114158305462653	0.425665809650876	0.0660919540229885	0.057001239157373	0.160619894281595	0.207820419985518	0.439853669033785
Cyanobacteriota	0.0006297229219143	8.0768920119538e-05	0.0003637686431429	0.0001019367991845	0.0	0.0001725785896346	0.001718541149513	0.0	0.0	0.0	0.0	0.0	2.18007412252017e-05	0.0003566572301107	0.0	0.0	2.61314936761785e-05	0.0	0.0	0.0	8.55121106526712e-05	0.0	3.24075574423956e-05	0.0001015383053256	0.0	0.0002133925141906	0.0	0.0012146240738491	0.000107677398514	0.0008471499455403	3.3954704424298e-05	0.0002017930756147	0.0005473953106468	0.0005771450557906	0.0	0.0	0.000812274368231	0.0001156929179406	0.0001359064963305	5.15264717248486e-05	8.6852137338044e-05	0.0006321112515802	0.0	3.74258500346189e-05	0.0002133219561623	0.000632911392405	0.0001546326990171	0.0002926390819493	0.0003701818518347	0.0001688333614722	0.0	0.0001583029919265	0.0002355379687205	0.0003739016638624	0.0	0.000183237229224	0.0	0.0	8.00897004645203e-05	0.0	0.0002151925973746
Candidatus.Melainabacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.69124275100371e-06	0.0	0.0	0.0	9.12325517744731e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.22569789195347e-06	2.31363657396696e-05	0.0	0.0	0.0	0.0	0.0	0.0	5.72616341325149e-06	0.0	0.0	0.0	0.0	0.0
Candidatus.Margulisbacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.12325517744731e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.33304890405845e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Deinococcota	0.0	0.0	0.0	5.09683995922528e-05	0.0	1.32752761257434e-05	0.0	0.0	0.0	0.0	0.0	3.62476439031463e-05	0.0	0.0020730701500189	0.0	0.0	2.61314936761785e-05	0.0003680981595092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.53824855020074e-05	0.0	0.0001358188176971	0.0	0.0001824651035489	0.0	0.0	0.0	0.0	8.26377985290472e-06	2.71812992661049e-05	0.0	4.3426068669022e-05	0.0	0.0	3.74258500346189e-05	0.0	0.0	9.66454368856974e-06	4.70312810275812e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.00831438927604e-05	0.0	0.0012391573729863	0.0	0.0	0.0
Armatimonadota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.10186204778729e-06	0.0	0.0	0.0	0.0	0.0	0.0	5.22569789195347e-06	2.31363657396696e-05	0.0	0.0	0.0	4.71075937441115e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mycoplasmatota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002112378538234	0.0	9.06191097578657e-05	0.0	0.0	0.0	0.0	5.22629873523571e-05	0.0	0.0	0.0	0.0001496461936421	0.0	6.48151148847911e-05	0.0001015383053256	0.0	0.0	0.0	0.0001214624073849	9.22949130120445e-05	0.0020573641534551	0.0	2.88275822306783e-05	0.0002736976553234	0.0007695267410542	0.0034364261168384	0.0007955449482895	0.0002707581227436	0.0001818031567639	0.0	2.57632358624243e-05	3.41204825256602e-05	0.0006321112515802	0.0	0.0	0.0003199829342435	0.0	7.73163495085579e-05	0.0001881251241103	0.0001156818286983	0.0001688333614722	0.0	0.0001583029919265	0.0002355379687205	0.0001246338879541	0.0	0.0002233203731168	0.0	0.0	4.00448502322601e-05	0.0	0.0005379814934366
Thermomicrobiota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.69124275100371e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus.Kaiserbacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.30737282530111e-05	0.0002420428415829	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.57632358624243e-05	6.20372409557457e-06	0.0	0.0	1.87129250173095e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001583029919265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus.Nomurabacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.13780276631678e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.71812992661049e-05	0.0	1.24074481911491e-05	0.0	0.0	0.0	0.0	0.0	9.66454368856974e-06	1.56770936758604e-05	0.0	0.0	0.0	0.0	0.0	6.23169439770674e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0001075962986873
Candidatus.Yanofskybacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.10186204778729e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.71075937441115e-05	0.0	0.0	3.43569804795089e-05	0.0	0.0	0.0	0.0	0.0
Candidatus.Falkowbacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.72616341325149e-06	0.0	0.0	0.0	0.0	0.0
Candidatus.Magasanikbacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001210214207914	0.0	0.0	9.12325517744731e-05	0.0	0.0	0.0007955449482895	0.0	0.0	5.43625985322098e-05	0.0	0.0	0.0	0.0	1.87129250173095e-05	0.0	0.0	9.66454368856974e-06	5.22569789195347e-06	0.0	0.0	0.0	0.0	4.71075937441115e-05	0.0	0.0	2.29046536530059e-05	0.0	0.0	0.0	0.0	0.0
Candidatus.Nealsonbacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.20372409557457e-06	0.0	0.0	1.87129250173095e-05	0.0	0.0	0.0	0.0	0.0	8.44166807361135e-05	0.0	0.0001583029919265	0.0	0.0	0.0	5.72616341325149e-06	0.0	0.0	0.0	0.0	0.0
Candidatus.Uhrbacteria	0.0	0.0	0.0	5.09683995922528e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.53824855020074e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.10186204778729e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.72616341325149e-06	0.0	0.0	4.00448502322601e-05	0.0	0.0
Candidatus.Giovannonibacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.69124275100371e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.10186204778729e-06	0.0	0.0	0.0	0.0	0.0	0.0	5.22569789195347e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus.Moranbacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.71812992661049e-05	0.0	3.10186204778729e-06	0.0	0.0	0.0	0.0	0.0	9.66454368856974e-06	0.0	0.0	0.0	0.0	0.0	4.71075937441115e-05	0.0	0.0	2.29046536530059e-05	0.0	0.0	0.0	0.0	0.0
Candidatus.Zambryskibacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.56770936758604e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.71784902397545e-05	0.0	0.0	0.0	0.0	0.0
Candidatus.Staskawiczbacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.09027915678139e-05	0.0	0.0	0.0	0.0	0.0	6.23169439770674e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus.Wolfebacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.72616341325149e-06	0.0	0.0	0.0	0.0	0.0
Candidatus.Harrisonbacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.26377985290472e-06	2.71812992661049e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.22569789195347e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.72616341325149e-06	0.0	0.0	0.0	0.0	0.0
Candidatus.Taylorbacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.66454368856974e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.72616341325149e-06	0.0	0.0	0.0	0.0	0.0
Candidatus.Buchananbacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.81238219515731e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.69124275100371e-06	0.0001210214207914	0.0	0.0	9.12325517744731e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.87129250173095e-05	0.0	0.0	0.0	5.22569789195347e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus.Jorgensenbacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.69124275100371e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus.Liptonbacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.87129250173095e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001583029919265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus.Ryanbacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.04513957839069e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.72616341325149e-06	0.0	0.0	0.0	0.0	0.0
Candidatus.Komeilibacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.12325517744731e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.10186204778729e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus.Kerfeldbacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.10186204778729e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1452326826503e-05	0.0	0.0	0.0	0.0	0.0
Candidatus.Terrybacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.13780276631678e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
